root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers_64;sharedBuffers_128;sharedBuffers_256;sharedBuffers;tempBuffers_2;tempBuffers_8;tempBuffers_32;tempBuffers;workMem_256;workMem_1024;workMem_4096;workMem;revision;performance;cpu
1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;57126.8;2.854427
1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;57430;2.757318
1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;56494.4;3.0841
1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;57290.2;2.861015
1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;57321.4;2.986019
1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;57553.6;2.765763
1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;56752.2;2.888752
1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;57195.4;2.959454
1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;57845.4;2.874402
1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;57323;2.838092
1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;56528.6;2.893351
1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;57823.4;2.777616
1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;57415.2;2.79114
1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;56323.2;2.900796
1;0;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;57757;2.858939
1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;57545.4;2.913239
1;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;56603;2.897482
1;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;56956.8;2.894994
