,revision,performance,cpu
291,8.3.0,57.9386,2.954865
292,8.3.0,57.4174,2.92012
293,8.3.0,57.4758,2.908118
294,8.3.0,57.3336,2.931003
295,8.3.0,57.6518,2.933938
296,8.3.0,57.598,2.915018
297,8.3.0,57.514,2.917719
298,8.3.0,57.5366,2.905643
299,8.3.0,57.860800000000005,2.896134
300,8.3.0,57.2556,2.894781
301,8.3.0,57.3512,2.870213
302,8.3.0,57.1584,2.887151
303,8.3.0,57.1518,2.925389
304,8.3.0,56.8014,2.873118
305,8.3.0,57.999199999999995,2.912173
306,8.3.0,57.435,3.073844
307,8.3.0,57.1502,2.888728
308,8.3.0,56.544599999999996,2.966746
309,8.3.0,58.3962,2.920938
310,8.3.0,56.9356,2.88795
311,8.3.0,57.6322,2.885762
312,8.3.0,57.1502,2.947865
313,8.3.0,56.7768,2.948
314,8.3.0,57.6074,2.921299
315,8.3.0,57.1626,2.911853
316,8.3.0,57.4936,2.906283
317,8.3.0,56.4796,2.950089
318,8.3.0,57.4558,2.931216
319,8.3.0,57.7964,2.887348
320,8.3.0,56.5848,2.917098
321,8.3.0,57.5174,2.919649
322,8.3.0,57.174800000000005,2.904571
323,8.3.0,57.023,2.915804
324,8.3.0,56.4424,2.857381
325,8.3.0,55.856199999999994,2.871282
326,8.3.0,56.7324,2.849387
327,8.3.0,56.2994,2.91414
328,8.3.0,55.931599999999996,2.919838
329,8.3.0,55.888400000000004,2.858222
330,8.3.0,56.1164,2.892521
331,8.3.0,55.6386,2.905887
332,8.3.0,56.6058,2.848505
333,8.3.0,55.9904,2.86482
334,8.3.0,56.481,2.877476
335,8.3.0,56.5296,3.053945
336,8.3.0,56.0242,2.938095
337,8.3.0,56.2652,2.851757
338,8.3.0,55.6624,2.841503
339,8.3.0,56.320800000000006,2.837786
340,8.3.0,55.793,2.945056
341,8.3.0,56.666599999999995,2.877751
342,8.3.0,56.2176,2.853693
343,8.3.0,55.4386,2.861071
344,8.3.0,56.818400000000004,2.872119
345,8.3.0,55.9228,2.82781
346,8.3.0,55.9234,2.855379
347,8.3.0,56.2232,2.85639
348,8.3.0,56.9228,2.879111
349,8.3.0,55.824400000000004,2.881373
350,8.3.0,56.5856,2.80557
351,8.3.0,56.8596,2.868047
352,8.3.0,55.381,2.887784
353,8.3.0,56.5874,2.858808
354,8.3.0,56.1858,2.841744
355,8.3.0,56.2278,2.922227
356,8.3.0,56.5526,2.832226
357,8.3.0,56.4758,2.848106
358,8.3.0,56.4556,2.878522
359,8.3.0,57.166,3.134361
360,8.3.0,55.762,2.866101
361,8.3.0,56.6136,2.817826
362,8.3.0,56.4244,2.835761
363,8.3.0,56.278800000000004,2.891448
364,8.3.0,56.4334,2.812145
365,8.3.0,56.3958,2.787248
366,8.3.0,55.868199999999995,2.865364
367,8.3.0,56.8166,2.895465
368,8.3.0,56.6698,2.876136
369,8.3.0,56.1064,2.86553
370,8.3.0,56.1758,2.916221
371,8.3.0,56.705400000000004,2.793302
372,8.3.0,56.4266,2.82245
373,8.3.0,55.756,2.806537
374,8.3.0,56.817,2.815565
375,8.3.0,56.2948,2.800157
376,8.3.0,56.686,2.870361
377,8.3.0,55.877199999999995,2.942303
378,8.3.0,57.506800000000005,2.883691
379,8.3.0,57.826800000000006,3.056436
380,8.3.0,56.2828,2.8759
381,8.3.0,57.7712,2.959351
382,8.3.0,57.4734,2.870008
383,8.3.0,57.5718,2.866484
384,8.3.0,56.3804,2.929099
385,8.3.0,57.6738,2.919446
386,8.3.0,57.0934,2.911303
387,8.3.0,56.418800000000005,2.964562
388,8.3.0,57.81,2.90489
389,8.3.0,57.2736,2.879067
390,8.3.0,57.4908,2.846538
391,8.3.0,56.325199999999995,2.908439
392,8.3.0,57.1262,2.885765
393,8.3.0,56.598800000000004,2.920294
394,8.3.0,57.2706,2.895952
395,8.3.0,57.42,2.868898
396,8.3.0,56.4486,2.910826
397,8.3.0,57.5146,2.928583
398,8.3.0,57.0802,3.060046
399,8.3.0,56.512800000000006,2.931364
400,8.3.0,57.6042,2.912866
401,8.3.0,57.6986,2.893206
402,8.3.0,56.7076,2.923519
403,8.3.0,57.089400000000005,2.903828
404,8.3.0,57.259,2.932375
405,8.3.0,56.9206,2.928695
406,8.3.0,57.3624,2.918255
407,8.3.0,57.281400000000005,3.071868
408,8.3.0,57.4834,2.970621
409,8.3.0,56.193599999999996,2.956462
410,8.3.0,57.4564,2.814388
411,8.3.0,57.083800000000004,2.901657
412,8.3.0,57.011199999999995,2.935825
413,8.3.0,57.49,2.926208
414,8.3.0,56.8992,2.951212
415,8.3.0,57.5056,2.878058
416,8.3.0,57.23,2.937367
417,8.3.0,56.5342,2.974127
418,8.3.0,57.403,3.043634
419,8.3.0,57.137,3.007945
420,8.3.0,56.9696,2.906533
421,8.3.0,57.393,2.937489
422,8.3.0,57.3004,2.873825
423,8.3.0,57.5238,2.946809
424,8.3.0,56.501400000000004,2.903789
425,8.3.0,57.584,2.869757
426,8.3.0,56.79,2.925493
427,8.3.0,56.8166,2.976428
428,8.3.0,56.935,2.940844
429,8.3.0,57.448800000000006,2.89053
430,8.3.0,56.6768,2.932209
431,8.3.0,57.8572,2.916208
432,8.3.0,114.403,2.196041
433,8.3.0,114.16539999999999,2.141058
434,8.3.0,115.59360000000001,2.135714
435,8.3.0,115.407,2.234798
436,8.3.0,115.004,2.17742
437,8.3.0,115.3978,2.184879
438,8.3.0,114.35839999999999,2.173621
439,8.3.0,114.7698,2.176271
440,8.3.0,114.5248,2.156155
441,8.3.0,115.07239999999999,2.193913
442,8.3.0,115.3486,2.136886
443,8.3.0,115.99080000000001,2.180362
444,8.3.0,114.8866,2.184598
445,8.3.0,115.6336,2.185596
446,8.3.0,114.09960000000001,2.145031
447,8.3.0,115.62819999999999,2.196556
448,8.3.0,116.5442,2.23894
449,8.3.0,114.46419999999999,2.210172
450,8.3.0,115.0506,2.278192
451,8.3.0,115.66260000000001,2.176484
452,8.3.0,114.2884,2.360976
453,8.3.0,116.62519999999999,2.187577
454,8.3.0,115.2122,2.207712
455,8.3.0,116.2552,2.174635
456,8.3.0,116.638,2.380641
457,8.3.0,115.50739999999999,2.155755
458,8.3.0,116.4388,2.186252
459,8.3.0,116.1074,2.210026
460,8.3.0,116.8504,2.154723
461,8.3.0,115.1778,2.139666
462,8.3.0,116.0084,2.182749
463,8.3.0,114.7308,2.193715
464,8.3.0,115.7048,2.141402
465,8.3.0,115.832,2.221605
466,8.3.0,114.2554,2.205304
467,8.3.0,113.6524,2.218262
468,8.3.0,114.9262,2.181794
469,8.3.0,114.78880000000001,2.383422
470,8.3.0,116.3666,2.197695
471,8.3.0,117.7,2.171005
472,8.3.0,116.1748,2.208784
473,8.3.0,116.4322,2.233622
