root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;columnTiling;rowTiling;threads_1;threads_2;threads_4;threads_8;threads;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;cpu
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;v1.3.0;0.001824;0;0.010042
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;v1.3.0;0.003604;0;0.003552
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;v1.3.0;0.001984;0;0.010136
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;v1.3.0;0.003375;0;0.025868
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;v1.3.0;0.00287;0;0.023379
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;v1.3.0;0.002735;0;0.022621
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;v1.3.0;0.002151;0;0.009748
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;v1.3.0;0.003375;0;0.016634
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;v1.3.0;0.001386;0;0.008169
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;v1.3.0;0.001693;0;0.00564
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;v1.3.0;0.001997;0;0.006901
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;v1.3.0;0.003985;0;0.007306
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;v1.3.0;0.001849;0;0.007102
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;v1.3.0;0.002313;0;0.013409
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;v1.3.0;0.002503;0;0.022336
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;v1.3.0;0.001702;0;0.007301
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;v1.3.0;0.003538;0;0.008333
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;v1.3.0;0.002023;0;0.013374
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;v1.3.0;0.000877;0;0.010201
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;v1.3.0;0.003544;0;0.013795
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;v1.3.0;0.003281;0;0.005453
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;v1.3.0;0.002008;0;0.00437
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;v1.3.0;0.003366;0;0.020139
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;v1.3.0;0.001487;0;0.007327
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;v1.3.0;0.001133;0;0.007381
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;v1.3.0;0.003013;0;0.016694
1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;v1.3.0;0.004048;0;0.00515
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;1;v1.3.0;0.004248;0;0.009812
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;v1.3.0;0.003213;0;0.038395
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;v1.3.0;0.001964;0;0.006185
1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;v1.3.0;0.002607;0;0.064703
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;1;v1.3.0;0.002026;0;0.006595
1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;v1.3.0;0.002893;0;0.03913
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;v1.3.0;0.001137;0;0.010228
1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;v1.3.0;0.002149;0;0.02149
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;v1.3.0;0.002793;0;0.020558
