,revision,performance,size,cpu
336,v1.3.0,152.3006,212945,3.523025
337,v1.3.0,152.22560000000001,212945,3.416149
338,v1.3.0,152.8406,212945,3.421824
339,v1.3.0,152.4514,212945,3.388991
340,v1.3.0,152.2636,212945,3.613939
341,v1.3.0,152.0036,212945,3.576634
342,v1.3.0,151.8818,212945,3.568687
343,v1.3.0,152.123,212945,3.572521
344,v1.3.0,152.3314,212945,3.675815
345,v1.3.0,152.4992,212945,3.535111
346,v1.3.0,152.52179999999998,212945,3.566039
347,v1.3.0,152.3704,212945,3.56761
348,v1.3.0,152.33579999999998,212945,3.651641
349,v1.3.0,152.2434,212945,3.553371
350,v1.3.0,152.324,212945,3.566108
351,v1.3.0,152.4702,212945,3.546879
352,v1.3.0,152.47039999999998,212945,3.506866
353,v1.3.0,152.2792,212945,3.414192
354,v1.3.0,151.9748,212945,3.498165
355,v1.3.0,152.4062,212945,3.671451
356,v1.3.0,152.2568,212945,3.555596
357,v1.3.0,152.13920000000002,212945,3.548421
358,v1.3.0,152.416,212945,3.583874
359,v1.3.0,152.016,212945,3.565251
360,v1.3.0,151.8262,213453,3.655466
361,v1.3.0,151.6934,213453,3.556556
362,v1.3.0,152.0016,213453,3.578411
363,v1.3.0,151.50779999999997,213453,3.523297
364,v1.3.0,151.99820000000003,213453,3.49737
365,v1.3.0,151.9864,213453,3.541399
366,v1.3.0,152.29139999999998,213453,3.603659
367,v1.3.0,152.191,213453,3.472816
368,v1.3.0,151.9484,213453,3.512202
369,v1.3.0,151.931,213453,3.51746
370,v1.3.0,152.0762,213453,3.495629
371,v1.3.0,152.2156,213453,3.551146
372,v1.3.0,151.9882,213453,3.563444
373,v1.3.0,151.4686,213453,3.569365
374,v1.3.0,151.84820000000002,213453,3.66702
375,v1.3.0,151.9032,213453,3.63245
376,v1.3.0,151.50060000000002,213453,3.561035
377,v1.3.0,152.0368,213453,3.54745
378,v1.3.0,152.1106,213453,3.515752
379,v1.3.0,151.8272,213453,3.56197
380,v1.3.0,152.2244,213453,3.591656
381,v1.3.0,151.8884,213453,3.48943
382,v1.3.0,151.878,213453,3.511368
383,v1.3.0,152.0778,213453,3.565731
384,v1.3.0,151.8234,213453,3.423433
385,v1.3.0,152.031,213453,3.567266
386,v1.3.0,151.9914,213453,3.571921
387,v1.3.0,152.01520000000002,213453,3.642502
388,v1.3.0,151.6322,213453,3.573362
389,v1.3.0,152.07,213453,3.576298
390,v1.3.0,151.693,213453,3.581445
391,v1.3.0,151.7986,213453,3.557399
392,v1.3.0,151.7816,213453,3.543882
393,v1.3.0,152.2258,213453,3.56038
394,v1.3.0,151.86960000000002,213453,3.540315
395,v1.3.0,151.81779999999998,213453,3.537986
396,v1.3.0,151.0832,213687,3.428814
397,v1.3.0,151.1596,213687,3.3836
398,v1.3.0,151.1396,213687,3.533568
399,v1.3.0,151.09539999999998,213687,3.51766
400,v1.3.0,151.25279999999998,213687,3.593335
401,v1.3.0,151.28,213687,3.560026
402,v1.3.0,151.0288,213687,3.540666
403,v1.3.0,151.0252,213687,3.56384
404,v1.3.0,151.1918,213687,3.574244
405,v1.3.0,151.09179999999998,213687,3.540612
406,v1.3.0,151.4236,213687,3.598276
407,v1.3.0,151.5948,213687,3.569772
408,v1.3.0,151.4232,213687,3.569182
409,v1.3.0,150.9768,213687,3.533089
410,v1.3.0,151.0058,213687,3.438174
411,v1.3.0,151.1976,213687,3.44065
412,v1.3.0,151.1974,213687,3.481907
413,v1.3.0,151.334,213687,3.601294
414,v1.3.0,151.2154,213687,3.563484
415,v1.3.0,151.1496,213687,3.568986
416,v1.3.0,151.03779999999998,213687,3.556864
417,v1.3.0,151.66279999999998,213687,3.566645
418,v1.3.0,151.4052,213687,3.569731
419,v1.3.0,151.3286,213687,3.580814
420,v1.3.0,151.2136,213687,3.581722
421,v1.3.0,151.2158,213687,3.552501
422,v1.3.0,151.3878,213687,3.577078
423,v1.3.0,151.345,213687,3.479326
424,v1.3.0,151.531,213687,3.602043
425,v1.3.0,151.4716,213687,3.383333
426,v1.3.0,151.1884,213687,3.488418
427,v1.3.0,151.2028,213687,3.587722
428,v1.3.0,151.1968,213687,3.576475
429,v1.3.0,150.843,213687,3.562667
430,v1.3.0,151.395,213687,3.569247
431,v1.3.0,151.1206,213687,3.571846
432,v1.3.0,151.867,212619,3.557299
433,v1.3.0,151.97979999999998,212619,3.581515
434,v1.3.0,152.3922,212619,3.687583
435,v1.3.0,152.86860000000001,212619,3.501872
436,v1.3.0,152.0284,212619,3.561887
437,v1.3.0,152.3572,212619,3.604185
438,v1.3.0,152.4304,212619,3.428084
439,v1.3.0,151.9676,212619,3.427752
440,v1.3.0,151.88039999999998,212619,3.599037
441,v1.3.0,152.423,212619,3.548251
442,v1.3.0,152.0874,212619,3.552622
443,v1.3.0,151.7442,212619,3.560471
444,v1.3.0,151.88060000000002,212619,3.576754
445,v1.3.0,152.74,212619,3.559843
446,v1.3.0,152.237,212619,3.55962
447,v1.3.0,152.2968,212619,3.570304
448,v1.3.0,152.3582,212619,3.556254
449,v1.3.0,152.34879999999998,212619,3.544925
450,v1.3.0,152.47820000000002,212619,3.502539
451,v1.3.0,152.3442,212619,3.541362
452,v1.3.0,151.9102,212619,3.469007
453,v1.3.0,152.875,212619,3.460596
454,v1.3.0,152.1754,212619,3.460516
455,v1.3.0,152.2742,212619,3.58309
456,v1.3.0,152.1968,212619,3.531838
