,revision,performance,cpu,benchmark-energy,fixed-energy,benchmark-power,fixed-power
14150,2.3.5,90140.4,23.149434,3052.2,5978.843038,33.883776,25.117602
14151,2.3.5,101175.4,25.085061,3516.6,6294.808706,34.679911,26.289648
14152,2.3.5,95131.4,24.29017,3232.8,6104.438577,33.875562,25.488145
14153,2.3.5,89922.4,23.085066,3036.2,6028.534838,33.607164,25.043945
14154,2.3.5,100781.2,24.962586,3454.2,6259.733438,34.354561,26.049594
14155,2.3.5,95211.0,24.24493,3281.6,6190.090094,34.464332,25.717121
14156,2.3.5,90416.0,23.316696,3053.8,5919.463809,33.753223,24.854459
14157,2.3.5,100843.6,25.398534,3455.6,6164.612304,34.230369,25.732376
14158,2.3.5,94465.4,24.007986,3269.2,6139.163891,34.485186,25.61241
14159,2.3.5,89172.2,23.146825,3105.8,6079.126232,34.651529,25.399371
14160,2.3.5,99152.8,24.659429,3385.8,6179.787881,34.165782,25.769049
14161,2.3.5,94277.0,24.098146,3203,6152.678261,33.996599,25.609864
14162,2.3.5,90017.2,22.930411,3071.2,6064.678181,33.973999,25.279534
14163,2.3.5,100346.6,25.054205,3492,6259.016645,34.730454,26.23267
14164,2.3.5,94801.4,24.120345,3193.2,6057.638491,33.655338,25.31311
14165,2.3.5,90056.4,23.161937,3030.6,6011.979296,33.4772,24.964078
14166,2.3.5,123794.2,26.505802,4279,6584.942427,34.591138,27.422616
14167,2.3.5,116145.4,25.600714,3981.4,6396.1056,34.241837,26.642986
14168,2.3.5,110179.0,24.64695,3824.6,6410.385819,34.654115,26.791228
14169,2.3.5,122934.6,26.585554,4243.6,6571.834324,34.478604,27.335307
14170,2.3.5,116497.6,25.720355,4047.6,6526.438377,34.760787,27.250222
14171,2.3.5,110165.6,24.613054,3746.8,6295.315366,33.946019,26.23743
14172,2.3.5,100382.0,25.101288,3502.2,6321.818002,34.661815,26.183619
14173,2.3.5,94893.6,24.108939,3221.6,6090.756329,33.832754,25.489775
14174,2.3.5,90206.0,23.037706,3071.8,6068.725111,34.069547,25.314563
14175,2.3.5,100596.2,25.018618,3421.8,6157.195814,34.098858,25.707271
14176,2.3.5,95273.2,24.122072,3310.8,6241.491167,34.458945,25.937554
14177,2.3.5,89712.8,23.069138,3015.6,5921.372815,33.599541,24.803861
