root;tcp;compression;none;lzo;cipher;AES_256_CBC;AES_128_CBC;TCP_NODEAL;prng;prng_none;prng_rsa_sha512;prng_sha512;prng_sha1;auth;auth_none;auth_sha1;auth_sha512;auth_rsa_sha512;reneg_bytes_10;reneg_bytes_30;reneg_bytes_50;reneg_bytes_70;reneg_bytes;performance;revision
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;1;575.821376;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;574.259855;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;570.28416;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;454.399552;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;464.750695;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;465.047436;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;459.738218;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;447.604171;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;458.589905;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;466.290431;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;464.852651;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;492.649983;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;1;489.981616;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;1;501.465653;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;502.959821;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;552.139037;2.1.0
1;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;546.136834;2.1.0
