root;delayedInnodbLogFlush;delayedInnodbLogWrite;innodbFlushMethod;fsyncFlush;dsyncFlush;directFlush;binaryLog;innodbDoubleWrite;tempTableSize_256;tempTableSize_4096;tempTableSize_65536;tempTableSize;innodbBufferPoolSize_8;innodbBufferPoolSize_64;innodbBufferPoolSize_512;innodbBufferPoolSize;innodbLogBufferSize_1;innodbLogBufferSize_8;innodbLogBufferSize_64;innodbLogBufferSize;revision;performance;cpu
1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;5.6.10;118.49918;1.527131
1;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;5.6.10;119.9792;1.373619
1;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;1;5.6.10;124.01058;1.488865
1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;1;0;1;5.6.10;119.37374;1.854396
1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;1;5.6.10;122.09366;1.715509
1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;1;5.6.10;124.05216;1.317745
1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;0;1;1;5.6.10;132.7063;1.908488
1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;1;1;5.6.10;133.45088;1.635012
1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;1;1;5.6.10;135.94442;1.728714
1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;1;1;5.6.10;121.3735;1.342743
1;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;1;5.6.10;121.65142;1.349925
1;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;5.6.10;125.16984;1.377146
1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;5.6.10;120.2092;1.487087
1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;1;1;5.6.10;120.39804;1.525302
1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;5.6.10;121.12528;1.200304
1;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;5.6.10;140.09936;1.641522
1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;0;0;1;5.6.10;133.5531;1.41168
1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;0;1;1;0;0;1;5.6.10;130.12254;1.750938
1;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;5.6.10;119.62884;1.600597
1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1;1;0;0;1;5.6.10;117.8651;1.678303
1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;5.6.10;125.69404;1.700481
