root;Workloads;LRA;QF_FP;QF_LRA;QF_UFLRA;well_sorted_check;proof;model_validate;unsat_core;smtlib2_compliant;compact;partial;type_check;revision;performance;memory
1;1;0;0;0;1;0;1;1;1;0;0;0;1;4.3.2;179.116;338792.8
1;1;0;0;0;1;0;1;1;1;0;0;1;0;4.3.2;181.202;340176.8
1;1;0;0;0;1;0;1;1;1;0;0;1;1;4.3.2;176.12;337625.6
1;1;0;0;0;1;0;1;1;1;0;1;0;0;4.3.2;183.258;337168.8
1;1;0;0;0;1;0;1;1;1;0;1;0;1;4.3.2;175.298;338254.4
1;1;0;0;0;1;0;1;1;1;0;1;1;0;4.3.2;179.41;338954.4
1;1;0;0;0;1;0;1;1;1;0;1;1;1;4.3.2;182.168;337990.4
1;1;0;0;0;1;0;1;1;1;1;0;0;0;4.3.2;171.18;332823.2
1;1;0;0;0;1;0;1;1;1;1;0;0;1;4.3.2;179.168;332980
1;1;0;0;0;1;0;1;1;1;1;0;1;0;4.3.2;176.612;332195.2
1;1;0;0;0;1;0;1;1;1;1;0;1;1;4.3.2;175.786;333340.8
1;1;0;0;0;1;0;1;1;1;1;1;0;0;4.3.2;180.866;333298.4
1;1;0;0;0;1;0;1;1;1;1;1;0;1;4.3.2;170.842;332565.6
1;1;0;0;0;1;0;1;1;1;1;1;1;0;4.3.2;179.814;331910.4
1;1;0;0;0;1;0;1;1;1;1;1;1;1;4.3.2;173.48;333027.2
1;1;0;0;0;1;1;0;0;0;0;0;0;0;4.3.2;99.936;51582.4
1;1;0;0;0;1;1;0;0;0;0;0;0;1;4.3.2;98.524;51617.6
1;1;0;0;0;1;1;0;0;0;0;0;1;0;4.3.2;101.142;51594.4
1;1;0;0;0;1;1;0;0;0;0;0;1;1;4.3.2;95.922;51410.4
1;1;0;0;0;1;1;0;0;0;0;1;0;0;4.3.2;99.32;51612.8
1;1;0;0;0;1;1;0;0;0;0;1;0;1;4.3.2;101.718;51596
1;1;0;0;0;1;1;0;0;0;0;1;1;0;4.3.2;96.57;51476
1;1;0;0;0;1;1;0;0;0;0;1;1;1;4.3.2;98.666;51537.6
1;1;0;0;0;1;1;0;0;0;1;0;0;0;4.3.2;99.012;51616
1;1;0;0;0;1;1;0;0;0;1;0;0;1;4.3.2;98.088;51845.6
1;1;0;0;0;1;1;0;0;0;1;0;1;0;4.3.2;97.658;51939.2
1;1;0;0;0;1;1;0;0;0;1;0;1;1;4.3.2;97.522;51729.6
1;1;0;0;0;1;1;0;0;0;1;1;0;0;4.3.2;97.384;51852.8
1;1;0;0;0;1;1;0;0;0;1;1;0;1;4.3.2;100.06;51699.2
1;1;0;0;0;1;1;0;0;0;1;1;1;0;4.3.2;96.624;51924
1;1;0;0;0;1;1;0;0;0;1;1;1;1;4.3.2;99.478;51878.4
1;1;0;0;0;1;1;0;0;1;0;0;0;0;4.3.2;101.354;52003.2
