,performance,revision
621,11.684,1.0.0
622,13.464,1.0.0
623,8.64,1.0.0
624,35.294,1.0.0
625,22.982,1.0.0
626,23.174,1.0.0
627,14.434,1.0.0
628,17.808,1.0.0
629,10.948,1.0.0
630,80.946,1.0.0
631,41.088,1.0.0
632,85.876,1.0.0
633,44.366,1.0.0
634,63.238,1.0.0
635,34.54,1.0.0
636,33.818,1.0.0
637,23.606,1.0.0
638,37.282,1.0.0
639,34.712,1.0.0
640,41.758,1.0.0
641,30.066,1.0.0
642,37.2,1.0.0
643,25.576,1.0.0
644,32.472,1.0.0
645,19.936,1.0.0
646,23.572,1.0.0
647,14.158,1.0.0
648,19.52,1.0.0
649,10.324,1.0.0
650,17.984,1.0.0
651,9.642,1.0.0
652,16.042,1.0.0
653,9.734,1.0.0
654,11.702,1.0.0
655,9.658,1.0.0
656,7.396,1.0.0
657,5.886,1.0.0
658,5.752,1.0.0
659,4.398,1.0.0
660,16.58,1.0.0
661,14.44,1.0.0
662,13.122,1.0.0
663,9.474,1.0.0
664,10.678,1.0.0
665,7.45,1.0.0
666,45.116,1.0.0
667,23.192,1.0.0
668,43.37,1.0.0
669,22.362,1.0.0
670,34.866,1.0.0
671,19.888,1.0.0
672,31.066,1.0.0
673,22.088,1.0.0
674,17.856,1.0.0
675,12.756,1.0.0
676,13.528,1.0.0
677,9.298,1.0.0
678,35.082,1.0.0
679,26.648,1.0.0
680,23.218,1.0.0
681,16.112,1.0.0
682,17.756,1.0.0
683,12.176,1.0.0
684,80.706,1.0.0
685,41.084,1.0.0
686,85.546,1.0.0
687,44.3,1.0.0
688,63.342,1.0.0
689,34.48,1.0.0
690,33.586,1.0.0
691,29.192,1.0.0
692,36.69,1.0.0
693,49.676,1.0.0
694,42.088,1.0.0
695,44.694,1.0.0
696,37.17,1.0.0
697,39.556,1.0.0
698,32.664,1.0.0
699,28.752,1.0.0
700,23.712,1.0.0
701,20.776,1.0.0
702,19.516,1.0.0
703,10.3,1.0.0
704,18.012,1.0.0
705,9.554,1.0.0
706,15.964,1.0.0
707,9.748,1.0.0
708,11.81,1.0.0
709,8.522,1.0.0
710,7.41,1.0.0
711,5.224,1.0.0
712,5.718,1.0.0
713,3.894,1.0.0
714,16.664,1.0.0
715,11.146,1.0.0
716,13.096,1.0.0
717,8.166,1.0.0
718,10.67,1.0.0
719,6.476,1.0.0
720,44.986,1.0.0
721,23.186,1.0.0
722,43.35,1.0.0
723,22.286,1.0.0
724,34.654,1.0.0
725,19.834,1.0.0
726,31.16,1.0.0
727,20.768,1.0.0
728,17.948,1.0.0
729,11.74,1.0.0
730,13.526,1.0.0
731,8.636,1.0.0
732,35.224,1.0.0
733,22.902,1.0.0
734,23.194,1.0.0
735,14.486,1.0.0
736,17.81,1.0.0
737,10.968,1.0.0
738,80.69,1.0.0
739,40.898,1.0.0
740,85.426,1.0.0
741,44.25,1.0.0
742,63.522,1.0.0
743,34.492,1.0.0
744,33.734,1.0.0
745,23.62,1.0.0
746,36.818,1.0.0
747,34.51,1.0.0
748,41.994,1.0.0
749,30.686,1.0.0
750,37.128,1.0.0
751,25.588,1.0.0
752,32.678,1.0.0
753,20.074,1.0.0
754,23.654,1.0.0
755,14.36,1.0.0
756,19.706,1.0.0
757,10.488,1.0.0
758,18.216,1.0.0
759,9.684,1.0.0
760,15.964,1.0.0
761,9.72,1.0.0
762,11.75,1.0.0
763,9.636,1.0.0
764,7.446,1.0.0
765,5.806,1.0.0
766,5.704,1.0.0
767,4.346,1.0.0
768,16.556,1.0.0
769,14.366,1.0.0
770,13.088,1.0.0
771,9.528,1.0.0
772,10.616,1.0.0
773,7.454,1.0.0
774,45.38,1.0.0
775,23.372,1.0.0
776,43.406,1.0.0
777,22.356,1.0.0
778,34.734,1.0.0
779,19.878,1.0.0
780,31.124,1.0.0
781,22.012,1.0.0
782,17.988,1.0.0
783,12.806,1.0.0
784,13.48,1.0.0
785,9.312,1.0.0
786,35.074,1.0.0
787,26.688,1.0.0
788,23.184,1.0.0
789,17.136,1.0.0
790,17.802,1.0.0
791,12.496,1.0.0
792,80.93,1.0.0
793,41.176,1.0.0
794,86.042,1.0.0
795,44.434,1.0.0
796,63.45,1.0.0
797,34.598,1.0.0
798,33.628,1.0.0
799,29.042,1.0.0
800,37.228,1.0.0
801,49.838,1.0.0
802,41.734,1.0.0
803,43.102,1.0.0
804,37.172,1.0.0
805,39.632,1.0.0
806,32.586,1.0.0
807,30.524,1.0.0
808,23.44,1.0.0
809,21.626,1.0.0
810,19.696,1.0.0
811,10.436,1.0.0
812,18.11,1.0.0
813,9.626,1.0.0
814,16.02,1.0.0
815,9.69,1.0.0
816,11.81,1.0.0
817,8.514,1.0.0
818,7.404,1.0.0
819,5.214,1.0.0
820,5.738,1.0.0
821,3.814,1.0.0
822,16.55,1.0.0
823,11.178,1.0.0
824,13.124,1.0.0
825,8.104,1.0.0
826,10.666,1.0.0
827,6.516,1.0.0
828,45.33,1.0.0
829,23.238,1.0.0
830,43.374,1.0.0
831,22.484,1.0.0
832,34.836,1.0.0
833,19.876,1.0.0
834,31.2,1.0.0
835,20.768,1.0.0
836,17.916,1.0.0
837,11.814,1.0.0
838,13.44,1.0.0
839,8.674,1.0.0
840,35.104,1.0.0
841,22.934,1.0.0
842,23.088,1.0.0
843,14.45,1.0.0
844,17.814,1.0.0
845,10.988,1.0.0
846,81.03,1.0.0
847,41.068,1.0.0
848,85.766,1.0.0
849,44.312,1.0.0
850,63.4,1.0.0
851,34.52,1.0.0
852,33.67,1.0.0
853,23.57,1.0.0
854,37.352,1.0.0
855,34.664,1.0.0
856,41.726,1.0.0
857,30.166,1.0.0
858,37.132,1.0.0
859,25.516,1.0.0
860,32.522,1.0.0
861,19.806,1.0.0
862,23.532,1.0.0
863,14.208,1.0.0
864,19.702,1.0.0
865,10.5,1.0.0
866,18.222,1.0.0
867,9.694,1.0.0
868,15.904,1.0.0
869,9.714,1.0.0
870,11.776,1.0.0
871,9.638,1.0.0
872,7.442,1.0.0
873,5.774,1.0.0
874,5.734,1.0.0
875,4.358,1.0.0
876,16.664,1.0.0
877,14.44,1.0.0
878,13.132,1.0.0
879,9.524,1.0.0
880,10.606,1.0.0
881,7.46,1.0.0
882,45.278,1.0.0
883,23.354,1.0.0
884,43.426,1.0.0
885,22.386,1.0.0
886,34.712,1.0.0
887,19.91,1.0.0
888,31.006,1.0.0
889,22.05,1.0.0
890,18.016,1.0.0
891,12.768,1.0.0
892,13.46,1.0.0
893,9.298,1.0.0
894,35.336,1.0.0
895,26.712,1.0.0
896,23.364,1.0.0
897,17.226,1.0.0
898,17.792,1.0.0
899,12.616,1.0.0
900,80.87,1.0.0
901,41.316,1.0.0
902,85.764,1.0.0
903,44.302,1.0.0
904,63.372,1.0.0
905,34.566,1.0.0
906,33.662,1.0.0
907,29.04,1.0.0
908,37.4,1.0.0
909,49.86,1.0.0
910,41.748,1.0.0
911,43.134,1.0.0
912,37.174,1.0.0
913,39.6,1.0.0
914,32.49,1.0.0
915,30.452,1.0.0
916,23.484,1.0.0
917,21.576,1.0.0
918,19.77,1.0.0
919,10.402,1.0.0
920,18.124,1.0.0
921,9.644,1.0.0
922,15.958,1.0.0
923,9.68,1.0.0
924,11.734,1.0.0
925,8.53,1.0.0
926,7.358,1.0.0
927,5.238,1.0.0
928,5.73,1.0.0
929,3.888,1.0.0
930,16.612,1.0.0
931,11.254,1.0.0
932,13.05,1.0.0
933,8.248,1.0.0
934,10.582,1.0.0
935,6.546,1.0.0
936,45.232,1.0.0
937,23.22,1.0.0
938,43.324,1.0.0
939,22.416,1.0.0
940,34.57,1.0.0
941,19.822,1.0.0
942,31.148,1.0.0
943,20.832,1.0.0
944,17.946,1.0.0
945,11.73,1.0.0
946,13.45,1.0.0
947,8.636,1.0.0
948,35.346,1.0.0
949,23.058,1.0.0
950,23.166,1.0.0
951,14.48,1.0.0
952,17.75,1.0.0
953,10.926,1.0.0
954,80.99,1.0.0
955,41.086,1.0.0
956,86.002,1.0.0
957,44.302,1.0.0
958,63.45,1.0.0
959,34.536,1.0.0
960,33.588,1.0.0
961,23.632,1.0.0
962,37.264,1.0.0
963,34.642,1.0.0
964,41.636,1.0.0
965,30.078,1.0.0
966,37.044,1.0.0
967,25.628,1.0.0
968,32.638,1.0.0
969,19.868,1.0.0
970,23.552,1.0.0
971,14.31,1.0.0
972,19.482,1.0.0
973,10.332,1.0.0
974,18.018,1.0.0
975,9.618,1.0.0
976,15.992,1.0.0
977,9.704,1.0.0
978,11.796,1.0.0
979,9.658,1.0.0
980,7.404,1.0.0
981,5.86,1.0.0
982,5.79,1.0.0
983,4.454,1.0.0
984,16.59,1.0.0
985,14.362,1.0.0
986,13.138,1.0.0
987,9.532,1.0.0
988,10.668,1.0.0
989,7.39,1.0.0
990,45.092,1.0.0
991,23.232,1.0.0
992,43.208,1.0.0
993,22.342,1.0.0
994,34.766,1.0.0
995,19.91,1.0.0
996,31.11,1.0.0
997,22.136,1.0.0
998,17.862,1.0.0
999,12.824,1.0.0
1000,13.426,1.0.0
1001,9.312,1.0.0
1002,35.128,1.0.0
1003,26.744,1.0.0
1004,23.282,1.0.0
1005,16.2,1.0.0
1006,17.828,1.0.0
1007,12.184,1.0.0
1008,80.692,1.0.0
1009,40.928,1.0.0
1010,85.528,1.0.0
1011,44.384,1.0.0
1012,63.316,1.0.0
1013,34.608,1.0.0
1014,33.776,1.0.0
1015,29.126,1.0.0
1016,36.76,1.0.0
1017,49.61,1.0.0
1018,42.044,1.0.0
1019,44.642,1.0.0
1020,37.176,1.0.0
1021,39.7,1.0.0
1022,32.696,1.0.0
1023,28.738,1.0.0
1024,23.658,1.0.0
1025,20.774,1.0.0
1026,19.542,1.0.0
1027,10.296,1.0.0
1028,17.994,1.0.0
1029,9.572,1.0.0
1030,15.956,1.0.0
1031,9.742,1.0.0
1032,11.796,1.0.0
1033,8.548,1.0.0
1034,7.408,1.0.0
1035,5.204,1.0.0
1036,5.794,1.0.0
1037,3.854,1.0.0
1038,16.592,1.0.0
1039,11.08,1.0.0
1040,13.086,1.0.0
1041,8.184,1.0.0
1042,10.646,1.0.0
1043,6.502,1.0.0
1044,45.014,1.0.0
1045,23.206,1.0.0
1046,43.346,1.0.0
1047,22.382,1.0.0
1048,34.852,1.0.0
1049,19.836,1.0.0
1050,31.13,1.0.0
1051,20.748,1.0.0
1052,17.894,1.0.0
1053,11.73,1.0.0
1054,13.534,1.0.0
1055,8.586,1.0.0
1056,35.206,1.0.0
1057,22.942,1.0.0
1058,23.156,1.0.0
1059,14.488,1.0.0
1060,17.718,1.0.0
1061,10.964,1.0.0
1062,80.832,1.0.0
1063,41.034,1.0.0
1064,85.63,1.0.0
1065,44.34,1.0.0
1066,63.376,1.0.0
1067,34.516,1.0.0
1068,33.608,1.0.0
1069,23.638,1.0.0
1070,36.922,1.0.0
1071,34.45,1.0.0
1072,42.096,1.0.0
1073,30.632,1.0.0
1074,37.226,1.0.0
1075,25.58,1.0.0
1076,32.658,1.0.0
1077,19.956,1.0.0
1078,23.57,1.0.0
1079,14.402,1.0.0
1080,19.716,1.0.0
1081,10.548,1.0.0
1082,18.132,1.0.0
1083,9.728,1.0.0
1084,15.918,1.0.0
1085,9.734,1.0.0
1086,11.768,1.0.0
1087,9.708,1.0.0
1088,7.44,1.0.0
1089,5.814,1.0.0
1090,5.78,1.0.0
1091,4.396,1.0.0
1092,16.632,1.0.0
1093,14.392,1.0.0
1094,13.138,1.0.0
1095,9.572,1.0.0
1096,10.658,1.0.0
1097,7.426,1.0.0
1098,45.346,1.0.0
1099,23.332,1.0.0
1100,43.404,1.0.0
1101,22.474,1.0.0
1102,34.608,1.0.0
1103,19.926,1.0.0
1104,31.164,1.0.0
1105,22.056,1.0.0
1106,17.932,1.0.0
1107,12.766,1.0.0
1108,13.552,1.0.0
1109,9.304,1.0.0
1110,35.25,1.0.0
1111,26.756,1.0.0
1112,23.29,1.0.0
1113,17.26,1.0.0
1114,17.762,1.0.0
1115,12.588,1.0.0
1116,80.912,1.0.0
1117,41.22,1.0.0
1118,85.858,1.0.0
1119,44.376,1.0.0
1120,63.424,1.0.0
1121,34.514,1.0.0
1122,33.664,1.0.0
1123,29.176,1.0.0
1124,37.188,1.0.0
1125,49.946,1.0.0
1126,41.726,1.0.0
1127,43.068,1.0.0
1128,37.28,1.0.0
1129,39.808,1.0.0
1130,32.484,1.0.0
1131,30.596,1.0.0
1132,23.474,1.0.0
1133,21.676,1.0.0
1134,19.704,1.0.0
1135,10.382,1.0.0
1136,18.22,1.0.0
1137,9.664,1.0.0
1138,15.926,1.0.0
1139,9.642,1.0.0
1140,11.762,1.0.0
1141,8.524,1.0.0
1142,7.4,1.0.0
1143,5.206,1.0.0
1144,5.714,1.0.0
1145,3.846,1.0.0
1146,16.528,1.0.0
1147,11.144,1.0.0
1148,13.082,1.0.0
1149,8.162,1.0.0
1150,10.67,1.0.0
1151,6.486,1.0.0
