,revision,performance,size,energy,cpu
467,v0.9.1,38.4778,1464876.8,2016.2,57.516964
468,v0.9.1,81.963,1445388,2874.4,25.606101
469,v0.9.1,55.402,1457607.8,2344.4,40.27113
470,v0.9.1,42.6826,1463185.8,2097.2,52.286135
471,v0.9.1,38.957800000000006,1453202.6,2074.4,57.499971
472,v0.9.1,83.5878,1456773,2908.6,25.845617
473,v0.9.1,54.7986,1463268,2278.4,39.793259
474,v0.9.1,42.5448,1460528.4,2067.6,52.138284
475,v0.9.1,38.6754,1464201,2062.4,57.793293
476,v0.9.1,82.7652,1463546,2904.6,25.816483
477,v0.9.1,55.5908,1471932.6,2375.8,40.199649
478,v0.9.1,42.765,1468709.6,2058,52.151794
479,v0.9.1,38.688199999999995,1468789,2097.6,57.630405
480,v0.9.1,81.9796,1445388,2849.2,25.800605
481,v0.9.1,55.107,1471532,2306,40.2589
482,v0.9.1,42.5404,1459527.4,2109.8,52.146069
483,v0.9.1,38.7262,1457020.6,2100.2,57.36216
484,v0.9.1,83.42960000000001,1456773,2946.2,25.551084
485,v0.9.1,55.120599999999996,1466247.2,2322.4,40.220799
486,v0.9.1,42.321,1460146.2,2090.6,52.10515
487,v0.9.1,38.4468,1466633.6,2027.6,57.472726
488,v0.9.1,82.9742,1463546,2868,25.828451
489,v0.9.1,55.161,1472771.2,2300.6,39.809966
490,v0.9.1,42.6796,1461218.8,2101.2,52.170144
491,v0.9.1,38.630199999999995,1473750.4,2082.2,57.499433
492,v0.9.1,82.02380000000001,1445388,2905.8,25.763351
493,v0.9.1,55.5976,1456932,2289.4,40.097727
