root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;threads_1;threads_2;threads_3;threads_4;threads;tokenParts_0;tokenParts_1;tokenParts_2;tokenParts;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;energy;cpu
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;v0.9.1;0.01444;0.019216;0.039258;0.030146
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;1;1;v0.9.1;0.013758;0.016446;0.019262;0.060641
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;v0.9.1;0.015376;0.019907;0.066629;0.011057
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;1;v0.9.1;0.002046;0;0.04909;0.069207
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;1;v0.9.1;0.01545;0.021612;0.023592;0.015682
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;v0.9.1;0.018279;0.021622;0.02106;0.009355
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;v0.9.1;0.017999;0.024974;0.041493;0.066289
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;v0.9.1;0.002068;0;0.033435;0.014147
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;v0.9.1;0.019405;0.023054;0.044619;0.027138
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;v0.9.1;0.015569;0.019594;0.027304;0.032465
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;v0.9.1;0.017116;0.016056;0.060824;0.04957
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;v0.9.1;0.040119;0;0.024716;0.058807
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;v0.9.1;0.018407;0.023646;0.063353;0.030308
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;1;1;v0.9.1;0.017647;0.020517;0.02948;0.03909
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;1;1;v0.9.1;0.017828;0.020745;0.048163;0.0431
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;1;v0.9.1;0.023005;0;0.049066;0.048716
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;0;0;1;1;v0.9.1;0.0169;0.022616;0.044155;0.059405
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;v0.9.1;0.014961;0.019194;0.019511;0.004498
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;v0.9.1;0.015757;0.025116;0.077524;0.031633
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;v0.9.1;0.00204;0;0.030816;0.053465
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;v0.9.1;0.039537;0.022439;0.053115;0.049268
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;v0.9.1;0.023239;0.021809;0.044251;0.012239
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;v0.9.1;0.039059;0.020654;0.06379;0.057714
1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;v0.9.1;0.001814;0;0.024003;0.064911
