,revision,performance,cpu
81,5.6.10,140.09936,1.641522
82,5.6.10,133.5531,1.41168
83,5.6.10,130.12254,1.750938
84,5.6.10,119.62884,1.600597
85,5.6.10,117.8651,1.678303
86,5.6.10,125.69404,1.700481
87,5.6.10,119.68018,1.69022
88,5.6.10,123.10666,1.948534
89,5.6.10,126.30492,1.393486
90,5.6.10,136.04086,2.002151
91,5.6.10,139.38692,1.61715
92,5.6.10,132.9808,1.58931
93,5.6.10,118.41692,1.78661
94,5.6.10,121.85572,1.341662
95,5.6.10,120.06258,1.536054
96,5.6.10,119.9881,1.008472
97,5.6.10,124.18366,1.580939
98,5.6.10,127.38666,1.460211
99,5.6.10,133.34224,1.729122
100,5.6.10,135.80004,1.594739
101,5.6.10,136.79668,1.938918
102,5.6.10,122.46552,1.413348
103,5.6.10,121.56546,1.64475
104,5.6.10,118.46276,1.580306
105,5.6.10,122.58702,1.836904
106,5.6.10,120.47544,1.674844
107,5.6.10,119.07712,1.208879
108,5.6.10,126.31252,1.502845
109,5.6.10,122.17136,1.409478
110,5.6.10,138.0459,0.941677
111,5.6.10,117.80374,1.646862
112,5.6.10,115.8951,1.835441
113,5.6.10,118.23528,1.595251
114,5.6.10,126.13942,1.705479
115,5.6.10,116.0536,1.352295
116,5.6.10,118.56118,1.708106
117,5.6.10,126.92822,2.060161
118,5.6.10,123.47396,1.425519
119,5.6.10,126.49992,1.769606
120,5.6.10,125.56164,1.55672
121,5.6.10,120.35676,1.301522
122,5.6.10,119.35288,1.523473
123,5.6.10,119.41888,1.495815
124,5.6.10,118.76918,1.550065
125,5.6.10,119.32496,1.376813
126,5.6.10,125.57642,1.660344
127,5.6.10,129.71786,1.607158
128,5.6.10,124.89182,1.235026
129,5.6.10,122.05458,1.240793
130,5.6.10,117.82236,1.195287
131,5.6.10,118.07504,1.414317
132,5.6.10,118.63734,1.113453
133,5.6.10,120.5605,1.458383
134,5.6.10,118.98506,1.256922
135,5.6.10,132.3872,1.730934
136,5.6.10,126.66668,1.20162
137,5.6.10,130.06254,1.802066
138,5.6.10,121.01414,1.462399
139,5.6.10,120.10392,1.306737
140,5.6.10,117.05712,1.561345
141,5.6.10,121.34524,1.283773
142,5.6.10,116.63196,1.451984
143,5.6.10,122.0373,1.47421
144,5.6.10,135.45114,1.917817
145,5.6.10,130.5175,1.479378
146,5.6.10,131.66778,1.447419
147,5.6.10,118.2846,1.391627
148,5.6.10,119.42082,1.461432
149,5.6.10,118.07172,1.118835
150,5.6.10,119.29496,1.603025
151,5.6.10,118.26642,1.282132
152,5.6.10,118.78172,1.937646
153,5.6.10,127.81964,1.369835
154,5.6.10,129.80514,1.29845
155,5.6.10,133.07246,1.766526
156,5.6.10,118.53088,1.430102
157,5.6.10,124.27318,1.415368
