root;WindowSize;CompressionLevel;performance;energy;memory;size;revision
1;22;3;0.012983;0.241469;0.005507;0.000000;0.4.0
1;23;3;0.009164;0.180526;0.003169;0.000000;0.4.0
1;24;3;0.006702;0.232764;0.001908;0.000000;0.4.0
1;10;4;0.009853;0.160001;0.015311;0.000000;0.4.0
1;11;4;0.005600;0.075753;0.012359;0.000000;0.4.0
1;12;4;0.007662;0.115158;0.018924;0.000000;0.4.0
1;13;4;0.005423;0.147165;0.017518;0.000000;0.4.0
1;14;4;0.005101;0.249637;0.007203;0.000000;0.4.0
1;15;4;0.002618;0.250045;0.018153;0.000000;0.4.0
1;16;4;0.007253;0.149243;0.006260;0.000000;0.4.0
1;17;4;0.006496;0.212128;0.015867;0.000000;0.4.0
1;18;4;0.007465;0.094426;0.010672;0.000000;0.4.0
1;19;4;0.005338;0.094973;0.011491;0.000000;0.4.0
1;20;4;0.012140;0.097572;0.008788;0.000000;0.4.0
1;21;4;0.007937;0.088362;0.048460;0.000000;0.4.0
1;22;4;0.006244;0.112483;0.033278;0.000000;0.4.0
1;23;4;0.008477;0.206858;0.011646;0.000000;0.4.0
1;24;4;0.005069;0.251833;0.015048;0.000000;0.4.0
1;10;5;0.003452;0.146978;0.014584;0.000000;0.4.0
1;11;5;0.008666;0.067916;0.018722;0.000000;0.4.0
1;12;5;0.002053;0.159531;0.016404;0.000000;0.4.0
1;13;5;0.006093;0.114097;0.019608;0.000000;0.4.0
1;14;5;0.001662;0.079407;0.012619;0.000000;0.4.0
1;15;5;0.004511;0.073981;0.007377;0.000000;0.4.0
1;16;5;0.003733;0.120330;0.004109;0.000000;0.4.0
1;17;5;0.003885;0.131547;0.015725;0.000000;0.4.0
1;18;5;0.001458;0.160224;0.012801;0.000000;0.4.0
1;19;5;0.001916;0.060775;0.009044;0.000000;0.4.0
1;20;5;0.002160;0.061580;0.005828;0.000000;0.4.0
1;21;5;0.001103;0.117099;0.051345;0.000000;0.4.0
1;22;5;0.004365;0.099112;0.031824;0.000000;0.4.0
1;23;5;0.002561;0.072094;0.010559;0.000000;0.4.0
1;24;5;0.004635;0.107592;0.014643;0.000000;0.4.0
1;10;6;0.007035;0.057845;0.014129;0.000000;0.4.0
1;11;6;0.002141;0.169026;0.012046;0.000000;0.4.0
1;12;6;0.001227;0.256045;0.010656;0.000000;0.4.0
1;13;6;0.001696;0.230055;0.011785;0.000000;0.4.0
1;14;6;0.003571;0.058696;0.010128;0.000000;0.4.0
1;15;6;0.002716;0.087177;0.007571;0.000000;0.4.0
